Topic,Count,Name,Representation,Representative_Docs
-1,2172,-1_keras_model_tensorflow_layer,"['keras', 'model', 'tensorflow', 'layer', 'tf', 'code', 'issue', 'using', 'layers', 'version']","[""use multi gpu(mirrored strategy) training with xla and amp(mixed precision) hi i've encountered some issues while trying to perform multi-gpu training with xla (accelerated linear algebra), and amp (automatic mixed precision). i'm reaching out to understand if it's possible to use multi-gpu training with xla and amp together. if so, i'd like guidance on which versions of tensorflow and keras should i use or how to modify my code to make this work. background: in earlier versions of tensorflow (prior to 2.11), we were able to successfully train models using multiple gpus with both xla and amp enabled. however, with versions beyond tensorflow 2.11 versions, i've not been able to run training with multi gpu xla amp. issues encountered with different versions: i use tf-keras 2.15 for all these tests, 1. tensorflow 2.17.1 2.16.2 and keras 3.8.0: error message runtimeerror: exception encountered when calling cond.call() mergecall called while defining a new graph or a tf.function. this can often happen if the function fn passed to strategy.run() contains a nested .function, and the nested .function contains a synchronization point, such as aggregating gradients (e.g, optimizer.applygradients), or if the function fn uses a control flow statement which contains a synchronization point in the body. such behaviors are not yet supported. instead, please avoid nested tf.functions or control flow statements that may potentially cross a synchronization boundary, for example, wrap the fn passed to strategy.run or the entire strategy.run inside a tf.function or move the control flow out of fn. if you are subclassing a tf.keras.model, please avoid decorating overridden methods teststep and trainstep in tf.function 2. tensorflow 2.17.1 2.16.2 and keras 3.5.0: issue: 3. tensorflow 2.17.1 2.16.2 and keras 3.0.5 error message: 4. tensorflow 2.18.0 also gives similar error with keras versions 3.0,3.5 and 3.6 5. using training gets stuck after some time similarly as with keras 3. i have tried this with various tensorflow versions but got same training stuck. code snippet: here's a simplified version of the code i'm using. this example is adapted from the keras documentation on distributed training ( can someone suggest what changes i should make in code or which version of keras and tensorflow to use to make training with multi gpu xla amp work? or is it not possible train using multi gpu xla amp?"", ""here is the code with slight modification that works with import keras from keras.models import sequential from keras.layers import lstm, dense, input, inputlayer xtrain keras.random.normal((50,20,3)) ytrain keras.random.normal((50, 1)) model sequential() model.add(inputlayer(batchinputshape xtrain.shape)) model.add(lstm(units 4, stateful true)) model.add(dense(1)) model.compile(loss 'meansquarederror', optimizer 'adam') model.fit(xtrain, ytrain, epochs 100, batchsize 1,) hello! could you create a similar example with simplernn layer using functional api instead? i am having issues reproducing the logic using tensorflow 2.18 and keras 3.8. and functional api, when training the model. so replace lstm with rnn with stateful true and keep the dense layer. however, the official documentation states the following: else for functional model with 1 or more input layers: to all the first layers in your model. this is the expected shape of your inputs including the batch size. it should be a tuple of integers, e.g. . - specify when calling . to reset the states of your model, call on either a specific layer, or on your entire model. not sure how .reset_states() is to be combined with stateful true and whether it makes sense? thank you for your time."", ""issue error you're encountering stems from an issue with using masking in the embedding layer for pos tagging model the error you're encountering stems from an issue with using masking in the embedding layer (maskzero true) and passing that through subsequent layers like lstm and timedistributed. here's how you can address the issue: key points to fix: mask propagation: ensure that layers following the embedding layer correctly handle the mask. the lstm layer natively supports masking, but there may be issues when passing the mask to timedistributed. loss function: the sparsecategoricalcrossentropy expects integer labels, and masking should be handled properly in the output to avoid issues. input shapes: check the compatibility of shapes being passed through the layers. eager execution: if you're using tensorflow 2.x, ensure eager execution is enabled (which is the default mode in tf 2.x). here's the corrected and modified version of your code: python copy edit import tensorflow as tf from tensorflow import keras define the model architecture model keras.sequential( keras.input(shape (200,)), input shape matches the padded sequence length keras.layers.embedding(inputdim vocablen, outputdim 50, weights embeddingmatrix , maskzero true), enable masking for padding tokens keras.layers.bidirectional(keras.layers.lstm(units 100, returnsequences true)), lstm supports masking keras.layers.bidirectional(keras.layers.lstm(units 100, returnsequences true)), keras.layers.timedistributed(keras.layers.dense(units tagslen, activation softmax )) timedistributed for sequence output ) compile the model model.compile( optimizer adam , loss sparsecategoricalcrossentropy , suitable for integer labels metrics accuracy ) display model summary model.summary() training model.fit(xtrain, ytrain, epochs 10) changes and fixes: masking compatibility: layers like lstm and bidirectional handle the mask propagated from the embedding layer. there's no need for manual intervention. output layer: the timedistributed layer is designed to handle the sequence output of the lstm layer. loss function: ensure ytrain is formatted correctly for sparsecategoricalcrossentropy, with integer labels and no one-hot encoding. debugging: if the issue persists, wrap the model.fit call in tf.function: python copy edit .function def train(): model.fit(xtrain, ytrain, epochs 10) train() additional tips: masking with timedistributed: if the problem persists in the timedistributed layer, consider explicitly handling the mask: python copy edit keras.layers.timedistributed(keras.layers.dense(units tagslen, activation softmax ), inputshape (none, 200, 100)) debugging with eager execution: ensure eager execution is enabled by adding: python copy edit tf.config.runfunctionseagerly(true) data validation: confirm that xtrain and ytrain are correctly padded to the same sequence length (200) and formatted as numpy arrays.""]"
0,1315,0_keras_model_issue_shape,"['keras', 'model', 'issue', 'shape', 'using', 'error', 'code', 'tensorflow', 'input', 'output']","['silently returns zero-dimension output in symbolic mode instead of raising an error for invalid parameters. related keras version keras 3.13.1, keras 3.10.0 the layer shows inconsistent behavior between eager and symbolic execution. when given parameters that are invalid for the input shape (e.g., a that makes the effective kernel larger than the input), it correctly raises an error in eager mode. however, in symbolic mode, it fails silently and returns a with a zero-dimension shape (e.g., ). this can mask configuration errors during model construction, leading to downstream issues that are difficult to debug. the symbolic path should perform the same validation and fail fast. this issue is observed across different backends (tensorflow 2.20.0, pytorch 2.10.0 cu128). code to reproduce actual behavior eager execution fails with a descriptive error, but symbolic execution proceeds and produces a tensor with a zero dimension. (note: the exact error message varies by backend, but the eager failure is consistent.) expected behavior symbolic execution should also raise an error during graph construction, mirroring the eager behavior. this would provide immediate feedback that the layer configuration is invalid.', 'layer with produces incorrect symbolic output shape for nested input tensors system information keras version: 3.13.2 backend: tensorflow 2.20.0 os: linux code to reproduce expected behavior the symbolic output shape should be consistent with the eager execution output shape. given an input tensor with a shape of , the layer with should produce an output tensor with a shape of . for the provided example, the symbolic output shape should be . actual behavior the symbolic execution incorrectly infers the output shape, resulting in .', ""deserializing error when loading models from '.keras' files in keras 3, issue with dense layers i am using google colab with the tensorflow v2.17 and keras v 3.4.1 libraries. i need to save and load my models, but i haven't been able to make the '.keras' file format load correctly. here is the line for saving the model: here is the line for loading the model: this is my error: this is the model that i trained: this model was just used for testing the bug. i have used as an alternative for loading the model, but i received the same error. interestingly, when i run the code for the first time, this is included in the error output. when the same code is run again, the line is no longer included: i have tested the code on the latest keras v3.5, and have gotten similiar results: i have tested the bug again by saving and loading the model into separate weights and json files: the error is at least slightly different: ultimately it would be a lot better to find out that i've been doing something wrong and i can fix this problem myself. i've been hung up on this for awhile, and i have a thesis to write.""]"
1,355,1_issue_fixed_thanks reporting_reporting,"['issue', 'fixed', 'thanks reporting', 'reporting', 'hi thanks', 'close', 'reproduce', 'code', 'gist', 'close issue']","['hi , thanks for reporting this. can you provide code to reproduce this issue ?', 'hi , thanks for reporting this. please provide reproducible code to reproduce this issue', 'hi , thanks for reporting this. please provide reproducible code to reproduce this issue.']"
2,258,2_jax_backend_jax backend_using,"['jax', 'backend', 'jax backend', 'using', 'tensorflow', 'torch', 'keras', 'tf', 'use', 'backends']","[""i thought it would be relatively easy to recreate this failure in a simple example, but after having tried to do so, i have not been able to. the problem i'm seeing in more complicated code, which i'm unable to share, is that the line is being hit with being when using the jax backend. as is also , it fails with the above mentioned error message. looking at the stack trace, the call that fails originates from some jax xla code, so the problem may in fact lie with jax xla and not keras. when using the tensorflow backend, this doesn't happen as the variables then have a numeric value and everything works as expected. i have worked around the problem by replacing with , so i think we can close the issue for now. however, there seems to be a problem with using on the jax backend that can be triggered by some but not all code. hence, the underlying issue on the jax backend remains unresolved."", 'warning from with jax backend this line causes jax to emit a warning:', 'issue in jax system info describe please check the following code where operation is used. it works in tensorflow and torch backend just fine but not in jax. is it expected? but in jax backend, it gives']"
3,154,3_pr_open pr_open_merged,"['pr', 'open pr', 'open', 'merged', 'issue', 'review', 'pr thanks', 'create pr', 'pr fix', 'submit']","['can i work on this and open a pr? thanks, shash', 'hi -genius - feel free to open a pr to fix this issue and ensure the issue is linked in the pr. thanks!', 'added a pr here:']"
4,79,4_loss_metrics_losses_loss function,"['loss', 'metrics', 'losses', 'loss function', 'function', 'metric', 'outputs', 'output', 'list', 'single']","[""truncates multiple loss inputs environment issue upon first call of , is triggered, which fails if is e.g. a tuple and the loss function expects , as only the first element gets passed to the loss function. details let's say i have a loss function i.e. the ground truth consists of two tensors (i can't stack them, their size is incompatible) and the prediction from my model is a single tensor. let's also say i have a model that takes two inputs and and produces one output . due to the nature of my problem, the input is automatically the ground truth, i.e. . so i would like to execute where the last call causes an exception in , because only gets passed as to . i have pinpointed the problem to the call to here ( and the subsequent iteration here ( the problem seems to be that the zip iteration expects and to be iterables of the same length as (which in my case is just 1). now wraps the single tensor into a single element list, which is correct. however, converts from a 2 element tuple to a 2 element list, where it should be a nested list with a single 2-element list . consequently the zip iteration takes only from in its single iteration (since all other iterables are just length one) and passes it as argument to . i imagine this behavior comes from the fact that in cases where one has multiple losses (which take single tensors as and ), the correct way of calling is to pass sequences for and to , one for each loss function. isn't there a way to reconcile both cases? i.e. sequence inputs to single loss functions, but still supporting multiple loss functions? all the information is there, i.e. how many loss functions and what are their signatures. for starters, it is not checked if all elements in the iteration are of same length... reproducible example here is a reproducible minimal example which produces the following error many thanks for all the great effort on keras, i greatly appreciate all the awesome features!"", ""custom loss function only receives one first output from model declaring multiple outputs current behavior declare a model with 2 named outputs, one for the bounding box and the second for the label classification. implicit declaration of loss functions in the compile configuration works ok. explicit declaration of a customloss function in the compile configuration calls the customloss function, but it only receives the first output (bbox), not the expected two (bbox labels) standalone code to reproduce the issue model as (numclasses 6 for ex): bbox layers.dense(4, name bbox )(features) classificationoutput layers.dense(numclasses, name classification , activation softmax )(features) model keras.model(inputs inputs, outputs bbox, classificationoutput , name 'vitobjectdetectorwithclass') dictionary for bounding box loss bboxlossdict mseloss : tf.keras.losses.meansquarederror(), mean squared error (for bounding box regression) maeloss : tf.keras.losses.meanabsoluteerror() mean absolute error (alternative for bounding boxes) dictionary for classification loss classlossdict sparsecategoricalcrossentropy : tf.keras.losses.sparsecategoricalcrossentropy(fromlogits false), cross-entropy loss for multi-class classification categoricalcrossentropy : tf.keras.losses.categoricalcrossentropy(fromlogits false) another option for multi-class classification if using one-hot encoded labels implicit declaration of configuration, inclusive the losses that works ok: model.compile( optimizer 'adam', or any optimizer loss bbox : bboxlossdict mseloss , classification : classlossdict sparsecategoricalcrossentropy , lossweights bbox : 1.0, classification : 1.5 , metrics bbox : mse , mae , classification : accuracy ) training: targets bbox : bboxtarget, shape, for ex: (640,4) classification : classtarget shape for ex: (640,) model.fit(xtrain, targets, epochs 10, batchsize 32) that training works correctly. declaring explicitly a customloss function: def customloss(ytrue, ypred): bboxtrue ytrue 0 bounding boxes ground truth classtrue ytrue 1 class labels ground truth bboxpred ypred 0 bounding box predictions classpred ypred 1 class predictions ...... etc and declaring the configuration as: model.compile(optimizer 'adam', loss customloss, metrics accuracy ) the customloss function only receives the bbox data (ypred.shape (32,4)) but not the label classification. it should be something like: y_pred.shape (32,4),(32,)"", ""thanks for the comment! i had thought about such a solution. unfortunately, it involves calculating all losses twice. some of my losses are a bit costly. for neural vocoders it may involve calculate the mel spectrogram from the synthesized signal. but i think this can be made better when the combined loss internally calculates the loss and as well the metrics and that allows accessing the metrics such that they can be accessed in the metrics property. the loss would be like this and i'd need to instantiate the loss and store it somewhere and then overwrite the metrics property of the model such that it gathers the metrics from the loss. what is unfortunate in that case is that i will not be able to use the official compiledmetrics container, which - as far as i see - would require me to establish the handling of training in distributed environments (multiple gpus). i might fix this by means of not using metrics.mean but a derived class that overwrites the update_state method such that it takes an additional argument ignored so that i can trigger using the values in the multiloss but will by default ignore calls in the compiledmetrics instance. i could then add the metrics i retrieve from the loss as part of the list of metrics that are argument to the compile method. this looks really nice. i'll try this out. thanks again for your comment.""]"
5,76,5_colab_provide_kaggle_code,"['colab', 'provide', 'kaggle', 'code', 'notebook', 'issue', 'colab notebook', 'reproduce', 'colab gist', 'gist']","['hi - could you please provide the reproduced issue in the form of a colab notebook, this ensures that the issue is easily reproducible on standard hardware.', 'hi - please provide the reproduced issue in the form of a colab notebook, this ensures that the issue is easily reproducible on standard hardware.', 'hi - could you please provide a standalone code in the form of a colab notebook to reproduce this issue? thanks!']"
6,51,6_mlx_openvino_backend_openvino backend,"['mlx', 'openvino', 'backend', 'openvino backend', 'support', 'inference', 'plan', 'community', 'new', 'implemented']","[""hi roman, absolutely, if you want to work on an openvino backend we'd be happy to support you. we don't really bandwidth to actively develop new backends (e.g. our mlx backend is not making progress due to lack of resources) but we're able to answer your questions and review any prs you submit. adding openvino as a new backend to support inference does openvino not support gradients? or is it otherwise not a good fit for training?"", ""so the plan is to support keras api for inference in case openvino backend. don't you mind us to add openvino due to this limitation ? we already have a backend that is inference-only, the numpy backend. this is not a big issue. i see that we need to add openvino directory into backends with implemented helpers for keras op decompositions using openvino opset. anything else can you recommend to take a look? or other useful developer documentation? since you're only targeting inference, there's a lot you won't need to implement -- no trainer class, no optimizers. i suggest you look the most closely at what is implemented in , since that's the other inference-only backend. if something is confusing, you can look at how it's implemented in other backends -- you have 3 other reference implementations for each function. i think the main point of difficulty might be static shape inference ( ), depending on how openvino works. now we plan to estimate required work, implement protype to infer some basic network and get back. great -- don't hesitate to reach out with questions!"", ""openvino backend: gfis for further development a great opportunity to contribute to two popular ai projects with just one pr:: keras 3 ( and openvino ( keras 3 enables seamless switching between supported backends pytorch, tensorflow, and jax for both training and inference of traditional models and llms genai pipelines. since keras 3.8.0, we've introduced a preview version of the openvino backend (for inference only), allowing developers to leverage openvino for model predictions directly within keras 3 workflows. activating the openvino backend requires just one line of code to run inference on keras 3-trained models. here s an example for a bert model from keras hub: currently, the openvino backend lacks support for some operations. our goal is to resolve this gap and to optimize it for inference on intel devices including cpus, integrated gpus, discrete gpus, and npus by supporting as many models as possible while delivering optimal performance. we aim to make the openvino backend the no. 1 choice for model inference within the keras 3 workflow . we warmly welcome you to participate in further development of the openvino backend. here is a list of good-first-issues (it will be periodically updated with new ones): - - - - - - - - - already done issues - - - - - - - - - - - - - - - - - - - - - - - - - - -""]"
7,51,7_thank_thanks lot_thanks thanks_lot,"['thank', 'thanks lot', 'thanks thanks', 'lot', 'sorry', 'pleasure', 'alright', 'cool', 'thanks thank', 'clarification']","['thanks a lot!', 'i see, thanks a lot for your reasoning!', 'thanks a lot!']"
8,47,8_optimizer_gradient_conflict_optimizers,"['optimizer', 'gradient', 'conflict', 'optimizers', 'gradients', 'multi', 'sgd', 'training', 'need', 'cast']","[""you're right, gradient sum reduction wasn't enabled by default with a . this was a regression. we have switched back the default behavior to sum-reduction. please confirm that the fix at head is working for your use case. to be clear, you do not need the argument, you only need the default behavior to be sum-reduction? we did not reintroduce the argument for now, but we could. it would only apply to tensorflow if we did it. thanks, but it still behave a bit different compare with keras2. in my use case, with mixed precision training multi worker training, gradient originally return fp32 dtype tensor from tape.gradient api, then for best performance, i cast the gradient to fp16 -- all reduce -- cast back to fp32 -- unscale lossscale -- apply gradient (with skipgradients_aggregation true args). so i need finegrain control of the gradient to satisfy my use case. on the other hand, can keras team introduce a tutorials about mix use of custom training loop mixed precision training multi worker training, i think this use case is heavily desired, and currently the tutorials is separated for each training trick, and there are still some bug when use all these trick at the same time"", ""multi worker training you mean multi-gpu rather than multi-worker right? we have no current support for actual multi-worker pss at this time. custom training loop mixed precision training is this a custom ? support mixed precision takes just one line: make sure to call on your loss after computing it. everything else is built-in. xla in a custom you don't need to do anything specific to support xla compilation or , it's all built-in. then for best performance, i cast the gradient to fp16 -- all reduce -- cast back to fp32 -- unscale lossscale -- apply gradient (with skipgradientsaggregation true args). so i need finegrain control of the gradient to satisfy my use case if what you need is to cast gradients to float16 before reduction, then what i suggest is to write an optimizer subclass that does this. here's the part of the code that's relevant: just cast the grads before and cast them back after. no need for a custom training loop here. thanks, i will have a try. but i found that the unscale gradient apply very early at the applygradient api, which produce unscale fp32 gradient, if subclass the opt (follow your suggestion), the unscale fp32 gradient will cast to fp16, then which may lead to produce underflow gradient ... (just guess)"", ""feature request add neat (nash-equilibrium adaptive training) optimizer to keras.optimizers summary this issue proposes adding neat (nash-equilibrium adaptive training) as a first-class optimizer in . neat is a conflict-aware momentum optimizer that introduces a lightweight nash-inspired correction term to suppress gradient components that directly conflict with the optimizer's own momentum history. the result is a smoother, more stable update rule that degrades gracefully to standard sgd-with-momentum when no conflict is detected. i am the author of the reference implementation at and am prepared to deliver a complete, review-ready pr against following all contribution guidelines. --- motivation every optimizer in today sgd, adam, adamw, adagrad, rmsprop, nadam, ftrl, adamax shares the same fundamental assumption: the gradient at step is always the correct direction to move. none of them model directional conflict between the current gradient and the optimizer's own accumulated signal. in practice, conflict is common: - noisy or oscillatory loss surfaces (e.g. small-batch training, transformers with warm-up) - multi-task multi-domain fine-tuning where different data sources pull in opposing directions - recurrent and sequence models where gradients change direction across time steps - adversarial or contrastive objectives where the loss landscape is intentionally non-convex when conflict occurs, a standard optimizer blindly accumulates the conflicting gradient into momentum, causing oscillation and slower convergence. neat detects conflict via the cosine similarity between and the opponent proxy , and removes the conflicting projection before accumulating momentum. this is directly analogous to how pcgrad (yu et al., neurips 2020) and cagrad (liu et al., neurips 2021) handle multi-task gradient conflict but neat does it within a single optimizer pass with no per-task gradient storage, making it usable via with zero changes to the training loop. --- algorithm for parameter tensor , gradient , opponent proxy (default: previous momentum ), correction strength , and momentum decay : key properties: - when (gradient and opponent are aligned or orthogonal), and the update is identical to sgd with momentum. no regression on tasks where conflict is absent. - the correction magnitude is bounded: by construction, so it cannot destabilize training. - the opponent proxy is configurable: (default), , or . - a warmup gate ( ) and a conflict threshold gate ( ) allow safe deployment when early gradients are noisy. --- proposed api usage (identical to any other keras optimizer): the optimizer is fully serializable via and compatible with all three keras backends (tensorflow, jax, pytorch). --- relationship to existing optimizers property sgd adam neat --- --- --- --- momentum yes ema (1st moment) yes adaptive lr per param no yes (2nd moment) no (base version) conflict detection no no yes decoupled weight decay no adamw variant yes (built-in) reduces to sgd when no conflict no yes extra memory per param 0 1 tensor 1 3 tensors (m, prevg, gema) neat occupies a distinct position: it is not a second-moment method and does not adapt the learning rate per parameter. instead it modifies which direction the gradient pushes, making it orthogonal to and composable with adaptive methods. --- benchmarks the reference repository includes a reproducible keras mlp benchmark on the digits dataset (8x8 images, 10 classes, 3 seeds each): optimizer mean test accuracy (20 epochs) --- --- sgd (momentum 0.9) 97.04 adam 96.85 adamw 96.85 neat (alpha 0.25, projection) 94.72 neat trails adam sgd on this smooth, low-noise benchmark. this is expected and honest: the conflict correction has a mean ratio of only on this task (the gradients are largely aligned), so neat is effectively running as sgd with a small overhead. the optimizer's advantage surfaces on tasks with genuine gradient conflict multi-task objectives, noisy fine-tuning, and oscillatory landscapes which are precisely the use cases not well-served by the current optimizer suite. diagnostic tooling ( ) is included in the reference implementation to measure the live conflict ratio during training, allowing users to verify whether their task benefits from the correction. --- implementation plan if this proposal is accepted, i will deliver: 1. full subclass following the exact same structure as , , and with: - creating , , and slot variables - implementing the update rule above, using only (backend-agnostic) - for full serialization - a complete numpy-style docstring with args, math description, and usage examples - input validation with clear error messages 2. add to the exports 3. public api export 4. unit tests covering: - reduces to sgd with momentum (numerical equality) - correction is bounded by - warmup gate: zero correction for first steps - conflict threshold gate: correction suppressed below threshold - round-trip serialization - slot variable shapes match variable shapes - convergence on quadratic loss (x² 0) within 100 steps - all three modes run without error - weight decay applies parameter shrinkage correctly 5. documentation docstring follows the same format as and will be auto-included in the api reference. all code will use only (no backend-specific calls), will pass and , and will be tested against the full keras ci matrix. --- reference - reference implementation: (apache-2.0) - math specification: - related work: pcgrad (yu et al., neurips 2020), cagrad (liu et al., neurips 2021), conflict-averse gradient descent --- i would appreciate any feedback on the proposed api surface before submitting the pr. happy to adjust the parameter names, defaults, or scope based on maintainer guidance.""]"
